Daytime_dd_mm_yyyy_hh_ss,Daynum_d,VehId,Trip,Timestamp,Latitude,Longitude,HV Battery Soc,Distance,Stop_d,Stop_hh_mm_ss
06-Nov-2017 01:31:45,6.0637,462,736,0,42.261296944,-83.719982222,NaN,0,0,00:00:00
06-Nov-2017 02:05:36,6.0872,462,736,2031200,42.26105,-83.720858611,NaN,10.886238584,0.571665092540755,14:17:03
06-Nov-2017 15:48:48,6.6589,462,738,0,42.245663333,-83.68047,NaN,0,0,00:00:00
06-Nov-2017 15:54:51,6.6631,462,738,363400,42.256361111,-83.710819722,NaN,3.8731493804,0.119601796281485,02:58:17
06-Nov-2017 18:47:05,6.7827,462,739,0,42.261084444,-83.720207222,NaN,0,0,00:00:00
06-Nov-2017 19:03:12,6.7939,462,739,967200,42.280199722,-83.780251667,NaN,7.9823231548,0,00:00:00
06-Nov-2017 02:08:49,6.0895,464,704,0,42.256068611,-83.769779722,NaN,0,0,00:00:00
06-Nov-2017 02:26:51,6.102,464,704,1082400,42.297981389,-83.720688611,NaN,8.1159878238,0.59640755552223,14:36:52
06-Nov-2017 16:45:41,6.6984,464,706,0,42.273555,-83.780000278,NaN,0,0,00:00:00
06-Nov-2017 16:47:23,6.6996,464,706,102600,42.263085,-83.780254444,NaN,1.5165984717,0,00:00:00
06-Nov-2017 13:13:32,6.5511,465,751,0,42.277576944,-83.698836111,NaN,0,0,00:00:00
06-Nov-2017 13:15:28,6.5524,465,751,115900,42.295087778,-83.704916667,NaN,2.0558696889,0,00:00:00
06-Nov-2017 19:21:20,6.8065,477,375,0,42.288809444,-83.748901944,NaN,0,0,00:00:00
06-Nov-2017 19:58:16,6.8321,477,375,2215600,42.273918889,-83.761647778,NaN,2.7609026127,0,00:00:00
06-Nov-2017 00:37:37,6.0261,483,728,0,42.281399167,-83.749410278,NaN,0,0,00:00:00
06-Nov-2017 00:41:41,6.029,483,728,243800,42.281312778,-83.730879444,NaN,1.7088701374,0.0657535092407429,01:38:45
06-Nov-2017 02:16:22,6.0947,483,729,0,42.286456944,-83.732743333,NaN,0,0,00:00:00
06-Nov-2017 02:25:11,6.1008,483,729,528500,42.285106389,-83.799086389,NaN,6.1472708914,0,00:00:00
06-Nov-2017 23:00:30,6.9587,484,693,0,42.254144167,-83.680881111,NaN,0,0,00:00:00
06-Nov-2017 23:12:50,6.9672,484,693,739500,42.261446389,-83.736864167,NaN,4.8770328613,0,00:00:00
06-Nov-2017 14:41:59,6.6125,500,808,0,42.249513889,-83.721101389,NaN,0,0,00:00:00
06-Nov-2017 14:52:37,6.6199,500,808,638900,42.280466667,-83.749808611,NaN,4.6806960903,0,00:00:00
06-Nov-2017 00:21:21,6.0148,501,292,0,42.255892222,-83.6909925,NaN,0,0,00:00:00
06-Nov-2017 00:26:55,6.0187,501,292,334400,42.274924444,-83.730923056,NaN,4.084376992,0,00:00:00
06-Nov-2017 19:00:50,6.7922,502,568,0,42.260392778,-83.734044167,NaN,0,0,00:00:00
